Resistance per unit length (ohm/um): 0.0165
Capacitance per unit length (F/um): 1.8400e-016
Sink node capacitance (F): 2.500000e-016
Buffer output resistance (ohm): 0.01
Sinkcount: 1903
Nodecount: 6485

%thisnode  parnode  lcnode  rcnode  length(um)  xloc(um)  yloc(um)

1 2038 -1 -1 454.000000 81326.000000 46981.000000
2 2508 -1 -1 984.100000 96928.000000 41332.000000
3 3806 -1 -1 182.000000 102812.000000 23089.000000
4 3807 -1 -1 287.270000 91460.000000 39848.000000
5 3808 -1 -1 114.880000 86844.000000 51013.000000
6 3809 -1 -1 701.120000 77973.000000 45559.000000
7 2798 -1 -1 1660.400000 85718.000000 54602.000000
8 3810 -1 -1 98.830000 101537.000000 55036.000000
9 3811 -1 -1 1003.170000 99875.000000 53934.000000
10 3812 -1 -1 452.050000 104163.000000 37684.000000
11 2549 -1 -1 1128.400000 93480.000000 20217.000000
12 2354 -1 -1 661.200000 101018.000000 37396.000000
13 1906 -1 -1 27.600000 105986.000000 41412.000000
14 3813 -1 -1 5.500000 92370.000000 53123.000000
15 3814 -1 -1 517.760000 86529.000000 41173.000000
16 3815 -1 -1 161.730000 91668.000000 39399.000000
17 2489 -1 -1 1225.800000 101698.000000 26323.000000
18 2652 -1 -1 4664.400000 104204.000000 10018.000000
19 3816 -1 -1 641.000000 97645.000000 20124.000000
20 3817 -1 -1 1121.140000 102498.000000 6445.000000
21 2997 -1 -1 1967.000000 88234.000000 13731.000000
22 2589 -1 -1 1477.300000 95491.000000 2222.000000
23 3818 -1 -1 359.000000 99571.000000 26235.000000
24 3819 -1 -1 799.810000 101277.000000 38857.000000
25 6312 -1 -1 244.300000 98322.000000 26594.000000
26 3820 -1 -1 384.520000 82824.000000 38514.000000
27 3821 -1 -1 122.000000 68378.000000 41417.000000
28 3822 -1 -1 96.500000 83076.000000 27780.000000
29 3823 -1 -1 601.000000 70207.000000 26631.000000
30 3824 -1 -1 259.000000 85813.000000 11289.000000
31 2620 -1 -1 2112.200000 94593.000000 8486.000000
32 3825 -1 -1 750.980000 98127.000000 34788.000000
33 3826 -1 -1 79.270000 94547.000000 35565.000000
34 3827 -1 -1 263.240000 106918.000000 19002.000000
35 2458 -1 -1 861.100000 89807.000000 18573.000000
36 3828 -1 -1 1509.020000 88407.000000 22124.000000
37 3829 -1 -1 408.890000 81895.000000 29804.000000
38 2578 -1 -1 1301.500000 76243.000000 33134.000000
39 3830 -1 -1 200.700000 74191.000000 42642.000000
40 2163 -1 -1 517.400000 57771.000000 48708.000000
41 3831 -1 -1 198.380000 70447.000000 44508.000000
42 3832 -1 -1 127.000000 87856.000000 62886.000000
43 3833 -1 -1 183.780000 74123.000000 58639.000000
44 3834 -1 -1 23.280000 55488.000000 47715.000000
45 3835 -1 -1 85.360000 63624.000000 38728.000000
46 3836 -1 -1 53.030000 67217.000000 47387.000000
47 3837 -1 -1 611.000000 59140.000000 30489.000000
48 3838 -1 -1 837.470000 61345.000000 26985.000000
49 2697 -1 -1 1747.000000 79242.000000 40475.000000
50 3839 -1 -1 1228.000000 92632.000000 56593.000000
51 3840 -1 -1 86.460000 105220.000000 66339.000000
52 2827 -1 -1 681.300000 87396.000000 74446.000000
53 3841 -1 -1 404.000000 73955.000000 87868.000000
54 2203 -1 -1 629.300000 84722.000000 101703.000000
55 3842 -1 -1 562.510000 84083.000000 104628.000000
56 2080 -1 -1 500.500000 90615.000000 92099.000000
57 2307 -1 -1 779.500000 88349.000000 90540.000000
58 3843 -1 -1 746.000000 104014.000000 72140.000000
59 2334 -1 -1 858.800000 121892.000000 90679.000000
60 3844 -1 -1 724.170000 121604.000000 103561.000000
61 3845 -1 -1 12.500000 108516.000000 109983.000000
62 3846 -1 -1 41.500000 93244.000000 116188.000000
63 3847 -1 -1 106.060000 110000.000000 122435.000000
64 3848 -1 -1 588.960000 96988.000000 118259.000000
65 1984 -1 -1 365.300000 101118.000000 102373.000000
66 3849 -1 -1 226.000000 94009.000000 113240.000000
67 3850 -1 -1 1053.000000 103368.000000 101595.000000
68 3851 -1 -1 29.000000 93247.000000 87768.000000
69 3852 -1 -1 1239.000000 79190.000000 72771.000000
70 2351 -1 -1 685.500000 93737.000000 87370.000000
71 1953 -1 -1 274.500000 95864.000000 73171.000000
72 3853 -1 -1 299.590000 114367.000000 62806.000000
73 3854 -1 -1 338.640000 99384.000000 50149.000000
74 2496 -1 -1 1174.500000 85037.000000 43873.000000
75 2286 -1 -1 648.800000 103387.000000 60773.000000
76 2020 -1 -1 260.800000 100213.000000 51519.000000
77 3855 -1 -1 441.530000 82033.000000 32577.000000
78 3856 -1 -1 1145.000000 66336.000000 22560.000000
79 3857 -1 -1 299.000000 53768.000000 17534.000000
80 3858 -1 -1 860.000000 43824.000000 9518.000000
81 6313 -1 -1 1188.300000 30338.000000 30691.000000
82 3859 -1 -1 199.000000 38783.000000 41792.000000
83 3860 -1 -1 781.650000 57758.000000 57782.000000
84 3861 -1 -1 1201.360000 43374.000000 40382.000000
85 2394 -1 -1 671.100000 57751.000000 22284.000000
86 1972 -1 -1 288.700000 67127.000000 20058.000000
87 2577 -1 -1 1810.900000 63323.000000 18700.000000
88 3862 -1 -1 302.080000 54941.000000 21039.000000
89 2517 -1 -1 1177.700000 47200.000000 29513.000000
90 2357 -1 -1 698.200000 44149.000000 47089.000000
91 3863 -1 -1 784.550000 41340.000000 32136.000000
